Original URL,GitHub URL,CDNJS/Raw URL,File Size
https://ya-mahdi.net/apps_audio/aba_thar/simaat.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/aba_thar/simaat.mp3,https://cdnjs.cloudflare.com/ajax/libs/aba_thar/simaat.mp3,13.83 MB
https://ya-mahdi.net/apps_audio/aba_thar/tawasul.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/aba_thar/tawasul.m4a,https://cdnjs.cloudflare.com/ajax/libs/aba_thar/tawasul.m4a,4.38 MB
https://ya-mahdi.net/apps_audio/aba_thar/tawasul.mp3,https://raw.githubusercontent.com/alihusains/audio/main/apps_audio/aba_thar/tawasul.mp3,https://raw.githubusercontent.com/alihusains/audio/main/apps_audio/aba_thar/tawasul.mp3,42.62 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/arafa_bokai.m4a,https://raw.githubusercontent.com/alihusains/audio/main/apps_audio/ali_reza_bokai/arafa_bokai.m4a,https://raw.githubusercontent.com/alihusains/audio/main/apps_audio/ali_reza_bokai/arafa_bokai.m4a,36.26 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/arbaeen_bokai.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/arbaeen_bokai.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/arbaeen_bokai.m4a,2.99 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/arbaeen_bokai.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/arbaeen_bokai.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/arbaeen_bokai.mp3,3.64 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/ashura_bokai.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/ashura_bokai.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/ashura_bokai.m4a,4.86 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/ashura_bokai.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/ashura_bokai.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/ashura_bokai.mp3,4.73 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/davod_bokai.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/davod_bokai.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/davod_bokai.m4a,2.75 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/davod_bokai.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/davod_bokai.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/davod_bokai.mp3,5.35 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/doa_vorud_ramazan_bokai.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/doa_vorud_ramazan_bokai.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/doa_vorud_ramazan_bokai.m4a,0.72 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/doa_vorud_ramazan_bokai.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/doa_vorud_ramazan_bokai.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/doa_vorud_ramazan_bokai.mp3,0.71 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/iftetah_bokai.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/iftetah_bokai.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/iftetah_bokai.m4a,1.22 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/iftetah_bokai.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/iftetah_bokai.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/iftetah_bokai.mp3,1.57 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/joshan_saghir_bokai.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/joshan_saghir_bokai.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/joshan_saghir_bokai.m4a,15.72 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/joshan_saghir_bokai.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/joshan_saghir_bokai.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/joshan_saghir_bokai.mp3,15.23 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/komeil_bokai.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/komeil_bokai.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/komeil_bokai.m4a,14.08 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/komeil_bokai.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/komeil_bokai.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/komeil_bokai.mp3,13.71 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/mojir_bokai.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/mojir_bokai.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/mojir_bokai.m4a,5.41 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/mojir_bokai.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/mojir_bokai.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/mojir_bokai.mp3,5.27 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/monajat_amirolmomenin.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/monajat_amirolmomenin.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/monajat_amirolmomenin.m4a,5.97 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/monajat_amirolmomenin.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/monajat_amirolmomenin.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/monajat_amirolmomenin.mp3,5.79 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/monajat_toba_bokai.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/monajat_toba_bokai.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/monajat_toba_bokai.m4a,1.30 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/monajat_toba_bokai.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/monajat_toba_bokai.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/monajat_toba_bokai.mp3,1.26 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/salavat_emam_bagher.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/salavat_emam_bagher.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/salavat_emam_bagher.m4a,0.36 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/salavat_emam_bagher.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/salavat_emam_bagher.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/salavat_emam_bagher.mp3,0.37 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/shab_fetr_bokai.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/shab_fetr_bokai.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/shab_fetr_bokai.m4a,0.33 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/shab_fetr_bokai.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/shab_fetr_bokai.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/shab_fetr_bokai.mp3,1.27 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/z_jamia_kabira_bokai.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/z_jamia_kabira_bokai.m4a,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/z_jamia_kabira_bokai.m4a,2.13 MB
https://ya-mahdi.net/apps_audio/ali_reza_bokai/z_jamia_kabira_bokai.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ali_reza_bokai/z_jamia_kabira_bokai.mp3,https://cdnjs.cloudflare.com/ajax/libs/ali_reza_bokai/z_jamia_kabira_bokai.mp3,3.10 MB
https://ya-mahdi.net/apps_audio/aliyamazamin.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/aliyamazamin.m4a,https://cdnjs.cloudflare.com/ajax/libs/aliyamazamin.m4a,3.49 MB
https://ya-mahdi.net/apps_audio/aliyamazamin.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/aliyamazamin.mp3,https://cdnjs.cloudflare.com/ajax/libs/aliyamazamin.mp3,3.39 MB
